   4,153766713954609
   4,283388501459508
   3,874115313899635
   4,186217332036812
   4,131876523985897
   3,969231170369473
   4,056640797769432
   4,134262446653865
   4,457839693972575
   4,376943702988488
   3,965011305984348
   4,403492346633185
   4,172540422494611
   4,093694512681034
   4,171474290382609
   4,079503394170022
   4,087585565178369
   4,248969760778546
   4,240903448980047
   4,241719241342961
   4,167149713360808
   3,979251307731496
   4,171723865132884
   4,263023528916473
   4,148889377031178
   4,203469300991785
   4,172688513338324
   4,069655907521398
   4,129387146709665
   4,021271719624136
   4,188839563175764
   3,985292989303085
   4,693112954183197
   4,019050130557512
   2,985571583800510
   4,243838029281510
   4,132519053945620
   4,024507168083029
   4,237029854009522
   3,928848358114630
   4,089775755391450
   4,075855295839264
   4,131920673916550
   4,131285859663742
   4,013512008267554
   4,096994870380373
   4,083512098079096
   4,162770728752872
   4,209326566903948
   4,210927329761439
   4,013634717801129
   4,107735909113043
   3,978588295638459
   3,988649925851323
   4,099315067189665
   4,253263030828475
   4,023033408624632
   4,137137881276005
   4,077441559772875
   4,211735613881446
   3,991093570494776
   4,103255746416497
   4,155252702111222
   4,210061021788087
   4,254421189550395
   4,108593113317542
   3,950840968936239
   4,025769816274014
   3,993841826668001
   4,335045722400204
   4,038439811853310
   4,174807678370399
   4,080758148941174
   4,188861042542071
   4,023515076343212
   3,959773103066124
   3,186640797769432
   4,148819390985993
   4,082262484338117
   4,080394651219266
   4,241931015064255
   4,129158437398418
   4,119781105346436
   4,258769908997405
   4,019553404365045
   4,169662441584960
   4,183508816507268
   4,075628485962205
   4,121567008640374
   3,983415606851795
   3,985204722110140
   4,110487471601649
   4,172225403222500
   4,358549125261624
   4,033310932929862
   4,118733102457894
   4,091750557462905
   3,906697708214901
   4,056103384606522
   3,920532115854488
